FID,id,rbd,nombre,letra,numero,direcc_cal,direcc_num,of_piso,direccion,comuna,telefono,dependenci,precio,predio_m2,edificacio,directivos,profesores,administra,tecnicos,auxiliares,personal_t,pasetotal,paselibre,furgontota,furgonacre,sitios,matriculaj,almuerzoju,rinden_sim,rinden_paa,menosde5,de6a13,de14a17,masde18,fuente,prebasica,basica,media,superior,otra,privado,bespecial,bprebasica,bbasica,bh_c,bcomercial,bindustria,btecnica,bcft,bip,bu,badulto,botra,rbd_d,localidad,clase,coord_x,coord_y,provincial,nombre_2,layer,tipo,dependen_1
287,805,9847 7,KAROL CARDENAL DE CRACOVIA,,262,8 NORTE,0,1,03922  B 8 NORTE,PAC,5222759,3,1000,1800,0,3,0,2,0,2,25,0,22,2,0,0,0,0,0,0,61,658,0,0,1,61,658,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9847 7,SANTIAGO,BASICA,342735.04451,6291895.59049,PROVINCIAL CENTRO,KAROL CARDENAL DE CRACOVIA,BASICA,ED BASICA,Particulares Subvencionados
288,806,9663 6,ELSA RAMIREZ,,166,STA ANA,1901,1,1901 STA ANA,SAN RAMON,5254292,3,13200,2467,0,3,0,1,0,4,26,0,29,7,5,3,730,100,0,0,86,643,0,0,1,86,643,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9663 6,SANTIAGO,BASICA,348103.38309,6289287.64442,PROVINCIAL SUR,ELSA RAMIREZ,BASICA,ED BASICA,Particulares Subvencionados
289,807,9596 6,DOMINGO FAUSTINO SARMIENTO,D,529,ANIBAL ZANARTU,9141,1,9141 ANIBAL ZANARTU,SAN RAMON,5583912,1,0,5935,0,3,0,0,0,2,19,0,4,2,0,0,0,0,0,0,34,307,0,0,1,34,307,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9596 6,SANTIAGO,BASICA,347067.22687,6287290.496,PROVINCIAL SUR,DOMINGO FAUSTINO SARMIENTO,BASICA,ED BASICA,Estatales
290,808,10000153,RAYITO DE SOL,,,ANIBAL ZANARTU,10077,0,10077 ANIBAL ZANARTU,SAN RAMON,5431550,6,300,0,3.42,1,0,0,5,2,11,0,0,0,0,0,0,0,0,0,206,0,0,0,3,206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000153,SANTIAGO,PREBASICA,346925.01276,6286346.41994,PROVINCIAL SUR,RAYITO DE SOL,PREBASICA,ED PREBASICA,Municipales
291,809,9601 6,CENTRO EDUCACIONAL MUNICIPAL SAN RAMON,,,ALMTE LATORRE,1601,1,9701 ALMTE LATORRE,SAN RAMON,5417039,1,3000,2160,6,2,0,0,0,3,31,0,29,0,0,0,0,0,0,19,0,74,323,81,1,0,74,404,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,9601 6,SANTIAGO,MEDIA,347415.67295,6286572.86922,PROVINCIAL SUR,CENTRO EDUCACIONAL MUNICIPAL SAN RAMON,MEDIA,ED MEDIA,Estatales
292,810,9614 8,KARELMAPU,E,545,VICUNA MACKENNA,1800,1,1800 VICUNA MACKENNA,SAN RAMON,5582755,1,0,0,0,3,0,0,0,3,30,0,6,0,0,0,0,0,0,0,109,556,0,0,1,109,556,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9614 8,SANTIAGO,BASICA,347480.58593,6286982.40013,PROVINCIAL SUR,KARELMAPU,BASICA,ED BASICA,Estatales
293,811,9625 3,VILLA LA CULTURA,F,544,GALVARINO,10252,1,10252 GALVARINO,SAN RAMON,5418837,1,2500,6000,0,3,0,0,0,3,36,0,4,1,0,0,500,70,0,0,64,795,0,0,1,64,795,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9625 3,SANTIAGO,BASICA,348440.1123,6285886.70961,PROVINCIAL SUR,VILLA LA CULTURA,BASICA,ED BASICA,Estatales
294,812,10000068,C.A. CRISOL,,,SGTO CANDELARIA,2280,0,2280 SGTO CANDELARIA,SAN RAMON,5418852,8,0,0,0,0,0,0,7,7,15,0,0,0,0,0,0,0,0,0,211,0,0,0,3,211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000068,SANTIAGO,PREBASICA,348496.34582,6285866.74146,PROVINCIAL SUR,C.A. CRISOL,PREBASICA,ED PREBASICA,Municipales
295,813,9643 1,INSTITUTO COMERCIAL EMA DIAZ SIERRA,,,EL PARRON,1741,1,1741 EL PARRON,SAN RAMON,5251695,3,30650,0,0,3,0,3,0,1,34,0,0,0,0,0,500,90,0,11,0,0,378,95,1,0,0,473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9643 1,SANTIAGO,MEDIA,347722.1812,6288803.45702,PROVINCIAL SUR,INSTITUTO COMERCIAL EMA DIAZ SIERRA,MEDIA,ED MEDIA,Particulares Subvencionados
296,814,9550 8,PAPELUCHO,,254,SEXTA AVENIDA,1580,1,1580 SEXTA AVENIDA,SAN MIGUEL,5218203,3,0,500,3.72,2,0,4,0,1,17,0,0,11,7,2,0,0,0,0,0,286,0,0,1,0,0,0,0,286,0,1,0,0,0,0,0,0,0,0,0,0,0,9550 8,SANTIAGO,BASICA,345314.03791,6291315.78467,PROVINCIAL CENTRO,PAPELUCHO,BASICA,ED BASICA,Particulares Subvencionados
297,815,9485 4,HANS Y GRETEL,,108,SEPTIMA AVENIDA,1521,1,1521 SEPTIMA AVENIDA,SAN MIGUEL,5211991,3,60000,500,0,2,0,0,0,1,15,0,14,6,0,0,0,0,0,0,25,140,0,0,1,25,140,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9485 4,SANTIAGO,BASICA,345180.71456,6291238.5777,PROVINCIAL CENTRO,HANS Y GRETEL,BASICA,ED BASICA,Particulares Subvencionados
298,816,9524 9,INGLES,,168,CUARTA AVENIDA,1474,1,1474 CUARTA AVENIDA,SAN MIGUEL,5213824,3,22000,0,0,1,0,1,0,1,12,0,0,3,0,0,0,0,0,0,45,187,0,0,1,45,187,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9524 9,SANTIAGO,BASICA,345533.2221,6291481.81584,PROVINCIAL CENTRO,INGLES,BASICA,ED BASICA,Particulares Subvencionados
299,817,24434 1,CENTRO DE EDUCACION DIFERENCIAL ARMONIA,,365,NOVENA AVENIDA,1185,1,1185 NOVENA AVENIDA,SAN MIGUEL,5213518,3,4000,0,0,2,0,6,0,2,15,0,5,4,2,4,0,0,0,0,0,105,0,0,1,0,0,0,0,105,0,1,0,0,0,0,0,0,0,0,0,0,0,24434 1,SANTIAGO,BASICA,345981.63587,6290721.38895,PROVINCIAL CENTRO,CENTRO DE EDUCACION DIFERENCIAL ARMONIA,BASICA,ED BASICA,Particulares Subvencionados
300,818,9473 0,COLEGIO SANTA ANA,,23,MIGUEL LEON PRADO,736,1,736 MIGUEL LEON PRADO,SAN MIGUEL,5257364,3,37000,0,0,4,0,2,0,4,27,0,0,6,6,0,500,0,0,0,88,540,0,0,1,88,540,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9473 0,SANTIAGO,BASICA,347083.64205,6291351.6601,PROVINCIAL CENTRO,COLEGIO SANTA ANA,BASICA,ED BASICA,Particulares Subvencionados
301,819,9504 4,COLEGIO CHILE,,,GRAN AVENIDA,5181,1,5181 GRAN AVENIDA,SAN MIGUEL,5224259,3,85000,0,0,5,0,7,0,4,74,0,350,0,0,0,0,0,0,119,0,416,852,0,1,0,416,852,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9504 4,SANTIAGO,MEDIA,346418.48149,6291995.5409,PROVINCIAL CENTRO,COLEGIO CHILE,MEDIA,ED MEDIA,Particulares Subvencionados
302,820,9539 7,JUAN NOE,,221,LEON PRADO,610,1,610 LEON PRADO,SAN MIGUEL,5266854,3,15000,2750,0,1,0,2,0,3,18,0,0,2,1,1,0,0,0,0,22,248,0,0,1,22,248,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9539 7,SANTIAGO,BASICA,347443.249,6291279.92125,PROVINCIAL CENTRO,JUAN NOE,BASICA,ED BASICA,Particulares Subvencionados
303,823,9409 9,COMERCIAL OSVALDO E.PARAM,A,99,ALVAREZ DE TOLEDO,1060,1,1060 ALVAREZ DE TOLEDO,SAN MIGUEL,5519960,5,12650,0,0,10,0,11,0,6,91,0,0,0,0,2,0,0,0,128,0,0,1053,263,1,0,0,1316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9409 9,SANTIAGO,MEDIA,346621.05086,6293211.22936,PROVINCIAL CENTRO,COMERCIAL OSVALDO E.PARAM,MEDIA,ED MEDIA,Municipales
304,824,9430 7,LICEO MUNICIPALIZADO Nº 460,E,460,SILVA,528,1,528 SILVA,SAN JOAQUIN,5516986,1,0,2040,0,3,0,1,0,4,29,0,0,0,0,0,0,0,0,0,140,449,0,0,1,140,449,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9430 7,SANTIAGO,BASICA,347632.7065,6294602.75185,PROVINCIAL CENTRO,LICEO MUNICIPALIZADO Nº 460,BASICA,ED BASICA,Estatales
305,825,9636 9,VENANCIA LEIVA DE LA GRANJA,,286,VENANCIA LEIVA,1741,0,1741 VENANCIA LEIVA,SAN RAMON,5412364,3,2000,0,0,4,0,1,0,6,51,0,253,3,3,1,2000,75,0,0,137,1868,0,0,1,137,1868,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9636 9,SANTIAGO,BASICA,347109.81838,6285879.88971,PROVINCIAL SUR,VENANCIA LEIVA DE LA GRANJA,BASICA,ED BASICA,Particulares Subvencionados
306,826,9673 3,ARTURO MATTE LARRAIN,,248,ANIBAL ZANARTU,9567,1,9567 ANIBAL ZANARTU,SAN RAMON,5270447,3,1500,0,0,6,0,0,0,4,41,0,29,0,0,0,900,0,0,0,134,1140,0,0,1,134,1140,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9673 3,SANTIAGO,BASICA,346978.10972,6286717.31111,PROVINCIAL SUR,ARTURO MATTE LARRAIN,BASICA,ED BASICA,Particulares Subvencionados
307,827,9814 0,GALVARINO # 1,,171,AMERICO VESPUCIO,1287,1,1287 AMERICO VESPUCIO,LA CISTERNA,5583987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1312,0,0,2,90,1312,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9814 0,SANTIAGO,BASICA,346729.53514,6287647.17192,PROVINCIAL SUR,GALVARINO # 1,BASICA,ED BASICA,Particulares Subvencionados
308,828,10000151,LIRAYEN,,,ANIBAL ZANARTU,9133,0,9133 ANIBAL ZANARTU,SAN RAMON,5585748,6,0,3182,0,1,0,0,10,2,18,0,0,0,0,0,0,0,0,0,188,0,0,0,3,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000151,SANTIAGO,PREBASICA,347077.61641,6287357,PROVINCIAL SUR,LIRAYEN,PREBASICA,ED PREBASICA,Municipales
309,829,12143 6,GALVARINO,,185,AMERICO VESPUCIO,1670,1,1670 AMERICO VESPUCIO,SAN RAMON,5581854,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12143 6,SANTIAGO,MEDIA,347202.59323,6287601.81669,PROVINCIAL SUR,GALVARINO,MEDIA,ED MEDIA,Municipales
310,831,9660 1,PARROQUIAL DOMINGO SAVIO,,147,BOLIVIA,1574,1,1574 BOLIVIA,SAN RAMON,5584699,3,43000,12000,0,6,0,2,0,6,37,0,0,10,0,0,850,90,0,0,82,650,0,0,1,82,650,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9660 1,SANTIAGO,BASICA,347207.73359,6287817.05,PROVINCIAL SUR,PARROQUIAL DOMINGO SAVIO,BASICA,ED BASICA,Particulares Subvencionados
311,832,11806 0,ARMI,,304,EL PARRON,1357,1,1357 EL PARRON,SAN RAMON,5259660,3,40000,283,0,3,0,5,0,2,20,0,13,4,1,0,0,0,0,0,27,250,0,0,1,27,250,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11806 0,SANTIAGO,BASICA,347158.76678,6288896.78253,PROVINCIAL SUR,ARMI,BASICA,ED BASICA,Particulares Subvencionados
312,833,11808 7,SEGUNDO MAURO ORTIZ,,314,MARIANA CASTRO,1245,1,1245 MARIANA CASTRO,SAN RAMON,5258955,3,0,95,5,1,0,0,0,1,3,0,0,1,1,0,0,50,0,0,29,0,0,0,1,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11808 7,SANTIAGO,PREBASICA,347214.74081,6289391.20438,PROVINCIAL SUR,SEGUNDO MAURO ORTIZ,PREBASICA,ED PREBASICA,Particulares Subvencionados
313,834,9629 6,ALIVEN,E,549,ALMTE LATORRE,9835,1,9835 ALMTE LATORRE,SAN RAMON,5589503,1,1000,5625,9.6,3,0,0,0,4,38,0,14,0,0,0,0,0,0,0,119,756,0,0,1,119,756,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9629 6,SANTIAGO,BASICA,347389.48233,6286404.61918,PROVINCIAL SUR,ALIVEN,BASICA,ED BASICA,Estatales
314,836,9611 3,TUPAHUE,E,534,AURORA DE CHILE,10104,1,10104 AURORA DE CHILE,SAN RAMON,5416696,1,800,12000,0,2,0,0,0,5,43,0,4,4,0,0,800,100,0,0,122,790,0,0,1,122,790,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9611 3,SANTIAGO,BASICA,347672.19994,6286192.058,PROVINCIAL SUR,TUPAHUE,BASICA,ED BASICA,Estatales
315,837,9600 8,NANIHUE,D,533,RIQUELME,1922,1,1922 RIQUELME,SAN RAMON,5417103,1,2500,6085,9.9,4,0,2,0,5,48,0,8,4,0,0,497,100,0,0,89,905,0,0,1,89,905,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9600 8,SANTIAGO,BASICA,347725.05838,6286542.13062,PROVINCIAL SUR,NANIHUE,BASICA,ED BASICA,Estatales
316,838,10000067,C.A. INES DE SUAREZ,,,LA BANDERA,9470,0,9470 LA BANDERA,SAN RAMON,5278865,8,0,0,0,0,0,0,9,3,13,0,0,0,0,1,0,0,0,0,144,0,0,0,3,144,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000067,SANTIAGO,PREBASICA,347273.90469,6286822.45,PROVINCIAL SUR,C.A. INES DE SUAREZ,PREBASICA,ED PREBASICA,Municipales
317,839,10000152,LOS CARINOSITOS,,,ALMTE LATORRE,9285,0,9285 ALMTE LATORRE,SAN RAMON,5417087,6,0,0,0,1,0,0,11,6,22,0,0,0,0,0,0,0,0,0,198,0,0,0,3,198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000152,SANTIAGO,PREBASICA,347507.67148,6287167.42536,PROVINCIAL SUR,LOS CARINOSITOS,PREBASICA,ED PREBASICA,Municipales
318,840,9669 5,NUESTRO MUNDO,,,AMERICA CENTRAL,1731,1,1731 AMERICA CENTRAL,SAN RAMON,5255047,3,0,2500,6,1,0,2,0,3,17,0,0,7,2,0,200,90,0,0,23,297,0,0,1,23,297,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9669 5,SANTIAGO,BASICA,347527.24393,6288717.54103,PROVINCIAL SUR,NUESTRO MUNDO,BASICA,ED BASICA,Particulares Subvencionados
319,841,10000154,PRIMAVERA,,,PEDRO AGUIRRE CERDA,8582,0,8582 PEDRO AGUIRRE CERDA,SAN RAMON,5435895,6,2200,2100,6.84,1,0,0,10,6,20,0,0,0,0,0,0,0,0,0,172,0,0,0,3,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000154,SANTIAGO,PREBASICA,348043.73844,6287906.21621,PROVINCIAL SUR,PRIMAVERA,PREBASICA,ED PREBASICA,Municipales
320,842,9593 1,EDUCADORES DE CHILE,D,527,DONIHUE,1887,1,1887 DONIHUE,SAN RAMON,5255663,1,0,5400,0,3,0,0,0,5,36,0,8,3,0,6,0,0,0,0,125,587,0,0,1,125,587,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9593 1,SANTIAGO,BASICA,347822.16029,6287948.19978,PROVINCIAL SUR,EDUCADORES DE CHILE,BASICA,ED BASICA,Estatales
321,843,9599 0,LICEO MUNICIPAL PURKUYEN,,,PEDRO AGUIRRE CERDA,8450,1,8450 PEDRO AGUIRRE CERDA,SAN RAMON,5282190,1,3000,4317,0,6,0,2,0,4,48,0,25,0,0,0,0,0,0,22,61,622,272,36,1,61,622,308,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,9599 0,SANTIAGO,MEDIA,348035.81533,6288024.10929,PROVINCIAL SUR,LICEO MUNICIPAL PURKUYEN,MEDIA,ED MEDIA,Estatales
322,844,9586 9,ARAUCANIA,D,511,PEDRO AGUIRRE CERDA,8153,1,8153 PEDRO AGUIRRE CERDA,SAN RAMON,5256004,1,0,0,0,4,0,2,0,4,53,0,8,6,0,0,1100,75,0,18,71,706,0,407,1,71,802,311,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,9586 9,SANTIAGO,MEDIA,348046.38504,6288257.96429,PROVINCIAL SUR,ARAUCANIA,MEDIA,ED MEDIA,Estatales
323,845,9584 2,COMERCIAL,B,106,DONIHUE,2030,1,2030 DONIHUE,SAN RAMON,5586732,5,14500,5000,0,5,0,3,0,6,55,0,0,0,0,12,0,0,0,10,0,0,646,174,1,0,0,820,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9584 2,SANTIAGO,MEDIA,348112.6875,6287915.15,PROVINCIAL SUR,COMERCIAL,MEDIA,ED MEDIA,Municipales
324,846,11809 5,MAURICE AND NATALY SCHOOL,,318,VENEZUELA,2095,1,2095 VENEZUELA,SAN RAMON,5258627,3,130000,720,3.5,2,0,3,0,1,12,0,0,10,4,2,300,30,0,0,0,160,0,0,1,0,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11809 5,SANTIAGO,BASICA,348266.55574,6288248.07982,PROVINCIAL SUR,MAURICE AND NATALY SCHOOL,BASICA,ED BASICA,Particulares Subvencionados
325,847,9654 7,FRANCISCO RAMIREZ,,74,AMERICA DEL SUR,2041,1,2041 AMERICA DEL SUR,SAN RAMON,5254352,3,17000,3000,0,4,0,2,0,6,49,0,180,10,0,0,1000,20,0,0,208,1181,0,0,1,208,1181,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9654 7,SANTIAGO,BASICA,348108.62891,6288562.6,PROVINCIAL SUR,FRANCISCO RAMIREZ,BASICA,ED BASICA,Particulares Subvencionados
326,848,9646 6,INSTITUTO COMERCIAL FRANCISCO RAMIREZ,,,AMERICA DEL SUR,2062,1,2062 AMERICA DEL SUR,SAN RAMON,5254416,3,41000,1000,0,3,0,1,0,3,26,0,0,0,0,0,0,0,0,13,0,0,410,103,1,0,0,513,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9646 6,SANTIAGO,MEDIA,348153.27998,6288554.56438,PROVINCIAL SUR,INSTITUTO COMERCIAL FRANCISCO RAMIREZ,MEDIA,ED MEDIA,Particulares Subvencionados
327,849,9648 2,FRANCISCO DE MIRANDA,,63,AMERICA DEL NORTE,2086,1,2086 AMERICA DEL NORTE,SAN RAMON,5255060,3,0,1100,6,3,0,2,0,1,23,0,27,4,4,0,0,0,0,0,45,450,0,0,1,45,450,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9648 2,SANTIAGO,BASICA,348217.21602,6288635.7166,PROVINCIAL SUR,FRANCISCO DE MIRANDA,BASICA,ED BASICA,Particulares Subvencionados
328,850,9647 4,LICEO SAN FRANCISCO,,,STA ROSA,9093,1,9093 STA ROSA,SAN RAMON,5416751,3,37500,7210,0,7,0,6,0,6,79,0,260,12,12,0,1500,45,0,48,130,1165,297,0,1,130,1165,297,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9647 4,SANTIAGO,MEDIA,348343.04655,6287260.48979,PROVINCIAL SUR,LICEO SAN FRANCISCO,MEDIA,ED MEDIA,Particulares Subvencionados
329,851,9631 8,CENTRO DE EDUCACION INTEGRADA DE ADULTO,F,550,STA ROSA,9449,1,9449 STA ROSA,SAN RAMON,5418850,3,0,2939,9.73,3,0,0,0,2,27,0,0,0,0,0,0,0,0,28,0,0,0,654,1,0,284,370,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9631 8,SANTIAGO,MEDIA,348434.99761,6286738.03728,PROVINCIAL SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTO,MEDIA,ED MEDIA,Particulares Subvencionados
330,852,9639 3,EMA DIAZ SIERRA,,155,JUAN LUIS SANFUENTE,7910,1,7910 JUAN LUIS SANFUENTE,SAN RAMON,5251695,3,2000,0,0,3,0,4,0,2,30,0,20,5,1,1,0,0,0,0,45,554,0,0,1,45,554,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9639 3,SANTIAGO,BASICA,347517.55,6288835.15,PROVINCIAL SUR,EMA DIAZ SIERRA,BASICA,ED BASICA,Particulares Subvencionados
331,853,24573 9,ANEXO ESCUELA ALBERTO BLEST GANA,,141,MIRADOR,1661,0,1661 MIRADOR,SAN RAMON,5254584,3,54500,4066,0,5,0,4,0,5,66,0,146,12,12,5,1700,100,0,0,0,1150,280,0,1,0,1150,280,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,24573 9,SANTIAGO,MEDIA,347887.96293,6289894.96069,PROVINCIAL SUR,ANEXO ESCUELA ALBERTO BLEST GANA,MEDIA,ED MEDIA,Particulares Subvencionados
332,854,9659 8,COLEGIO ALBERTO BLEST GANA,,141,MIRADOR,1674,1,1674 MIRADOR,SAN RAMON,5254584,3,54500,0,0,1,0,1,0,2,12,0,0,12,12,5,120,100,0,0,120,120,0,0,1,120,120,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9659 8,SANTIAGO,BASICA,347909.74997,6289890.12705,PROVINCIAL SUR,COLEGIO ALBERTO BLEST GANA,BASICA,ED BASICA,Particulares Subvencionados
333,855,9592 3,SENDERO DEL SABER,D,524,CARLOS DAVILA,7551,1,7551 CARLOS DAVILA,SAN RAMON,5583706,1,31000,1200,0,3,0,0,0,3,22,0,10,10,0,0,520,70,0,0,90,310,0,0,1,90,310,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9592 3,SANTIAGO,BASICA,347910.01953,6289157.375,PROVINCIAL SUR,SENDERO DEL SABER,BASICA,ED BASICA,Estatales
334,856,11807 9,PUMANQUE,,312,MAYO,1719,1,1719 MAYO,SAN RAMON,5255171,3,1500,800,4,1,0,0,0,1,7,0,0,1,0,0,70,100,0,0,10,92,0,0,1,10,92,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11807 9,SANTIAGO,BASICA,347970.37619,6289752.77593,PROVINCIAL SUR,PUMANQUE,BASICA,ED BASICA,Particulares Subvencionados
335,857,9674 1,HEIDI ENGLISH SCHOOL,,250,STA ROSA,6499,1,6499 STA ROSA,SAN RAMON,5252768,3,0,4847,2.05,1,0,0,0,1,7,0,0,4,0,0,0,0,0,0,46,102,0,0,1,46,102,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9674 1,SANTIAGO,BASICA,348085.99747,6289813.86617,PROVINCIAL SUR,HEIDI ENGLISH SCHOOL,BASICA,ED BASICA,Particulares Subvencionados
336,858,9608 3,CENTRO EDUCACIONAL MIRADOR,,517,MIRADOR,1470,1,1470 MIRADOR,SAN RAMON,5219917,1,5650,3551,0,5,0,1,0,2,27,0,120,3,0,1,965,60,0,20,30,284,114,28,1,30,284,142,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,9608 3,SANTIAGO,MEDIA,347607.39482,6289956.73444,PROVINCIAL SUR,CENTRO EDUCACIONAL MIRADOR,MEDIA,ED MEDIA,Estatales
337,859,9415 3,TERRITORIO ANTARTICO,D,471,TERCERA TRANSVERSAL,5950,1,5950 TERCERA TRANSVERSAL,SAN MIGUEL,5214597,1,0,0,0,3,0,1,0,7,36,0,54,4,0,0,700,100,0,0,28,533,0,0,1,28,533,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9415 3,SANTIAGO,BASICA,345647.40703,6291318.35,PROVINCIAL CENTRO,TERRITORIO ANTARTICO,BASICA,ED BASICA,Estatales
338,860,9431 5,VILLA SAN MIGUEL,E,462,LAZO,1520,1,1520 LAZO,SAN MIGUEL,5224269,1,1500,5144,7.67,4,0,0,0,6,28,0,6,2,0,0,500,80,0,0,79,371,0,0,1,79,371,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9431 5,SANTIAGO,BASICA,345614.53121,6292313.58023,PROVINCIAL CENTRO,VILLA SAN MIGUEL,BASICA,ED BASICA,Estatales
339,861,9513 3,SPRING COLLEGE,,99,SAN NICOLAS,1548,1,1548 SAN NICOLAS,SAN MIGUEL,3121641,3,40000,0,0,2,0,3,0,1,13,0,0,6,1,0,250,90,0,0,0,209,0,0,1,0,209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9513 3,SANTIAGO,BASICA,345576.58,6292461.172,PROVINCIAL CENTRO,SPRING COLLEGE,BASICA,ED BASICA,Particulares Subvencionados
340,862,9527 3,ECOLE NOEL,,180,SAN NICOLAS,0,1,1530 1540 SAN NICOLAS,SAN MIGUEL,5225019,3,35000,0,0,3,0,0,0,2,21,0,22,11,5,2,270,100,0,0,47,273,0,0,1,47,273,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9527 3,SANTIAGO,BASICA,345588.74,6292456.916,PROVINCIAL CENTRO,ECOLE NOEL,BASICA,ED BASICA,Particulares Subvencionados
341,863,9472 2,POLITECNICO SAN LUIS,,,GRAN AVDA JOSE MIGUEL CARRERA,5941,1,5941 GRAN AVDA JOSE MIGUEL CARRERA,SAN MIGUEL,5211013,3,53600,0,0,8,0,6,0,8,132,0,0,0,0,0,1800,0,0,96,0,0,2880,720,1,0,0,3600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9472 2,SANTIAGO,MEDIA,346193.63214,6291058.34612,PROVINCIAL CENTRO,POLITECNICO SAN LUIS,MEDIA,ED MEDIA,Particulares Subvencionados
342,864,9511 7,GRAN AVENIDA,,37,GRAN AVDA JOSE MIGUEL CARRERA,5665,1,5665 GRAN AVDA JOSE MIGUEL CARRERA,SAN MIGUEL,5214595,3,50500,0,0,2,0,3,0,1,12,0,0,10,8,2,0,0,0,0,70,72,0,0,1,70,72,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9511 7,SANTIAGO,BASICA,346271.33206,6291397.09695,PROVINCIAL CENTRO,GRAN AVENIDA,BASICA,ED BASICA,Particulares Subvencionados
343,866,11912 1,INSTITUTO COMERCIAL SAN MIGUEL,,,SAN NICOLAS,1346,1,1346 SAN NICOLAS,SAN MIGUEL,5224284,3,62500,5000,0,7,0,6,0,7,70,0,0,0,0,0,1100,0,0,35,0,0,1200,300,1,0,0,1500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11912 1,SANTIAGO,MEDIA,345924.77483,6292336.35738,PROVINCIAL CENTRO,INSTITUTO COMERCIAL SAN MIGUEL,MEDIA,ED MEDIA,Particulares Subvencionados
344,867,9549 4,FERNANDO DE ARAGON,,252,SAN NICOLAS,1317,1,1317 SAN NICOLAS,SAN MIGUEL,5225337,3,48500,0,0,3,0,1,0,3,21,0,13,5,5,0,0,0,0,0,27,278,0,0,1,27,278,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9549 4,SANTIAGO,BASICA,345977.66672,6292317.68966,PROVINCIAL CENTRO,FERNANDO DE ARAGON,BASICA,ED BASICA,Particulares Subvencionados
