FID,codest,nomeste,codreg,nomreg,codss,nomss,codcom,nomcom,pertenen,tipoest,certifi,depend,nivel,viaacceso,direcc,longitud,latitud,cod_nuevo
258,08-303,CESFAM-Catemu,5,De Valparaíso,8,Servicio de Salud Aconcagua,5702,Catemu,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Prat S/N Catemu,-70.9618006748,-32.7785368823,108303
259,08-304,CESFAM-Putaendo,5,De Valparaíso,8,Servicio de Salud Aconcagua,5705,Putaendo,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Avenida,Alessandri  196 Putaendo,-70.7181220417,-32.622531134,108304
260,08-305,"CESFAM-San Felipe ""El Real""",5,De Valparaíso,8,Servicio de Salud Aconcagua,5701,San Felipe,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Servicio de Salud,Primario,Calle,Cajales 1900 San Felipe,-70.7256268019,-32.7588385094,108305
261,08-306,CESFAM-Cordillera Andina (Urbano 2),5,De Valparaíso,8,Servicio de Salud Aconcagua,5301,Los Andes,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Servicio de Salud,Primario,Calle,Papudo Norte  151 Los Andes,-70.5972477805,-32.8279129907,108306
262,08-307,CESFAM-Centenario (Urbano 1),5,De Valparaíso,8,Servicio de Salud Aconcagua,5301,Los Andes,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Perú  S/N Los Andes,-70.6033127476,-32.8393727357,108307
263,08-308,CESFAM-Pedro Aguirre Cerda,5,De Valparaíso,8,Servicio de Salud Aconcagua,5302,Calle Larga,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,La Pampilla  164 Calle Larga,-70.6238423013,-32.8597652301,108308
264,08-309,CESFAM-Santa María,5,De Valparaíso,8,Servicio de Salud Aconcagua,5706,Santa Maria,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Irarrázabal 246 Santa Maria,-70.6574151453,-32.7507611956,108309
265,08-310,CESFAM-Curimón,5,De Valparaíso,8,Servicio de Salud Aconcagua,5701,San Felipe,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Plaza de Curimón  45 San Felipe,-70.6886498682,-32.783633281,108310
266,08-311,CESFAM-Panquehue,5,De Valparaíso,8,Servicio de Salud Aconcagua,5704,Panquehue,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,El Peral  S/N Panquehue,-70.8521219773,-32.782111728,108311
267,08-312,CESFAM-Dr. Segismundo Iturra (Consultorio Nº 2),5,De Valparaíso,8,Servicio de Salud Aconcagua,5701,San Felipe,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Santa Teresa  370 San Felipe,-70.7269522594,-32.7387809554,108312
268,08-700,CECOF-Lo Calvo,5,De Valparaíso,8,Servicio de Salud Aconcagua,5304,San Esteban,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Lo Camus  S/N San Esteban,-70.5917168613,-32.751828672,108700
269,08-703,CECOF-Los Cerrillos,5,De Valparaíso,8,Servicio de Salud Aconcagua,5702,Catemu,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Los Cerrillos  S/N Catemu,-70.9289613379,-32.6938199895,108703
270,08-707,CECOF-Juan Pablo Segundo,5,De Valparaíso,8,Servicio de Salud Aconcagua,5301,Los Andes,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Esteban Sainz 945 Los Andes,-70.6130383969,-32.8382099038,108707
271,08-709,CECOF-Las Cadenas,5,De Valparaíso,8,Servicio de Salud Aconcagua,5706,Santa Maria,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Pueblo El Llano S/N Santa Maria,-70.6295714804,-32.7922830371,108709
272,08-712,CECOF-Quebrada Herrera,5,De Valparaíso,8,Servicio de Salud Aconcagua,5701,San Felipe,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Vergara S/N San Felipe,-70.7514366381,-32.6992937387,108712
273,08-811,SAPU-Segismundo Iturra,5,De Valparaíso,8,Servicio de Salud Aconcagua,5701,San Felipe,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Santa Teresa  370 San Felipe,-70.7269522594,-32.7387809554,108811
274,08-900,SAPU-Los Andes Nº1-Centenario,5,De Valparaíso,8,Servicio de Salud Aconcagua,5301,Los Andes,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Perú Centenario 487 Los Andes,-70.6033127476,-32.8393727357,200116
275,09-011,PRAIS (S.S Metropolitano Norte),13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Calle,Maruri 272 Independencia,-70.6554380849,-33.4290127562,109011
276,09-300,CESFAM-Agustín Cruz Melo,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Independencia  1325 Independencia,-70.6571194123,-33.4151550096,109300
277,09-301,CESFAM-Recoleta,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Recoleta 740 Recoleta,-70.6457682667,-33.4239217789,109301
278,09-302,CESFAM-Lucas Sierra,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Pedro Fontova  4107 Conchalí,-70.6711113005,-33.3887844404,109302
279,09-303,CESFAM-Quinta Bella,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Justicia Social  185 Recoleta,-70.634602235,-33.4032071063,109303
280,09-304,CESFAM-Valdivieso,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Los Cipreses 1892 Recoleta,-70.6309662928,-33.4103600608,109304
281,09-305,CGU- La Pincoya,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Recoleta 5580 Huechuraba,-70.636972208,-33.3733750747,109305
282,09-307,CESFAM-Dr. Juan Petrinovic (Ex Scroggie),13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Teniente Colipí  670 Recoleta,-70.6449394902,-33.384391697,109307
283,09-308,CESFAM-Alberto Bachelet Martínez,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,El Guanaco  3250 Conchalí,-70.6581480303,-33.3943997405,109308
284,09-309,CESFAM-José Symon Ojeda,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,El Cortijo  2895 Conchalí,-70.6927058356,-33.3785142201,109309
285,09-310,CESFAM-Colina,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13301,Colina,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Alpatacal 540 Colina,-70.6705534438,-33.2059794226,109310
286,09-311,CGR- José Bauzá Frau,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Ismael Carmona  978 Lampa,-70.8761708587,-33.2856572236,109311
287,09-312,CESFAM-Batuco,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Santa Elena  180 Lampa,-70.8141503791,-33.2418489274,109312
288,09-313,CGU- Irene Frei de Cid,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,San Luis  525 Quilicura,-70.7465902338,-33.3656775338,109313
289,09-314,CESFAM-Juanita Aguirre,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Altona 1835 Conchalí,-70.6830054302,-33.3703860932,109314
290,09-315,CGU- Manuel Bustos de Quilicura,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Avenida,Lo Cruzat  486 Quilicura,-70.7203954386,-33.35423202,109315
291,09-316,CESFAM-Esmeralda,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13301,Colina,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,"Carretera General San Martín, Km. 31 S/N Colina",-70.6536566717,-33.1841330165,109316
292,09-317,CESFAM-El Barrero,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Las Petunias 305 Huechuraba,-70.6246630633,-33.3759089292,109317
293,09-320,CESFAM-Huertos Familiares,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,4 Oriente  221 Tiltil,-70.7994562411,-33.1358209148,109320
294,09-321,CESFAM-Juan Antonio Ríos,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Soberanía 1180 Independencia,-70.6684454566,-33.4173446792,109321
295,09-323,CESFAM-Dr. Salvador Allende Gossens (Huechuraba),13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Recoleta 6061 Huechuraba,-70.632789118,-33.3634148995,109323
296,09-324,CESFAM-Presidente Salvador Allende Gossens,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Santa Luisa  290 Quilicura,-70.7380806864,-33.3544411769,109324
297,09-390,CESFAM-Cristo Vive (ONG),13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Otra Institución,Primario,Calle,Recoleta 4125 Recoleta,-70.6417390159,-33.3867529706,109390
298,09-606,COSAM- Independencia,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,Salomón Sack 331 Independencia,-70.660541868,-33.4123749844,109606
299,09-607,COSAM- Conchalí,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,Canberra 5860 Conchalí,-70.6829195693,-33.3703255724,109607
300,09-608,COSAM- Huechuraba,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,Recoleta 5696 Huechuraba,-70.6364047172,-33.3725275244,109608
301,09-609,COSAM- Recoleta,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,Inocencia 2705 Recoleta,-70.6415814365,-33.4020248105,109609
302,09-636,COSAM- Quilicura,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,Guardia Marina Riquelme  489 Quilicura,-70.745775597,-33.365864842,109636
303,09-640,COSAM- Colina,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13301,Colina,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Pasaje,Pasaje 10 No. 816 Población Ignacio Carrera Pinto 816 Colina,-70.6742768782,-33.1956826195,109640
304,09-641,COSAM- Lampa,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,"Directora María Mella 735, Lampa",-70.8856302328,-33.2855809581,109641
305,09-642,COSAM- Til-Til,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Perteneciente,Consultorio de Salud Mental,S/C,Municipal,Secundario,Calle,Daniel Moya  100 Tiltil,-70.9245222208,-33.086792577,109642
306,09-709,CECOF-Dr. José Symón Ojeda,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Avenida,Barón de Juras Reales  3988 Conchalí,-70.6822448092,-33.3946634173,109709
307,09-711,CECOF-Sol de Septiembre,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Arco Iris 367 Lampa,-70.8530317468,-33.3048944077,109711
308,09-712,CECOF-Batuco,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Avenida,Argentina  S/N Lampa,-70.8127341807,-33.2299226944,109712
309,09-713,CECOF-La Foresta,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Sotaqui 434 Quilicura,-70.7486294496,-33.3592516772,109713
310,09-715,CECOF-Pucara de Lasana,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Avenida,Las Torres  211 Quilicura,-70.7259700886,-33.3770288064,109715
311,09-716,CECOF-Esmeralda,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13301,Colina,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Atena 2008 Colina,-70.6634386571,-33.1837266918,109716
312,09-718,CECOF-Los Libertadores,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,San Pedro de Atacama  1925 Huechuraba,-70.6835043425,-33.3601643907,109718
313,09-801,SAPU-Zapadores,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Zapadores  1099 Recoleta,-70.6498951421,-33.3872839124,109801
314,09-802,SAPU-Lucas Sierra,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Pedro Fontova  4107 Conchalí,-70.6711113005,-33.3887844404,109802
315,09-804,SAPU-Valdivieso,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Adriana Miranda 1892 Recoleta,-70.6309662928,-33.4103600608,109804
316,09-805,SAPU-La Pincoya,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Recoleta 5580 Huechuraba,-70.636972208,-33.3733750747,109805
317,09-808,SAPU-Alberto Bachelet Martínez,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Guanaco  3250 Conchalí,-70.6581480303,-33.3943997405,109808
318,09-809,SAPU-Symon Ojeda,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Independencia  5663 Conchalí,-70.6927058356,-33.3785142201,109809
319,09-810,SAPU-Colina,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13301,Colina,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Carretera General San Martín  77 Colina,-70.6774633986,-33.2068360286,109810
320,09-811,SAPU-José Bauzá Frau,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Ismael Carmona  978 Lampa,-70.8761708587,-33.2856572236,109811
321,09-813,SAPU-Nº 2 Irene Frei de Cid,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,San Luís  525 Quilicura,-70.7465902338,-33.3656775338,109813
322,09-815,SAPU-Nº 1 (La Plaza),13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,J. Pedro Escobar 483 Quilicura,-70.731201034,-33.3672664093,109815
323,09-821,SAPU-Juan Antonio Ríos,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Soberanía  1180 Independencia,-70.6684454566,-33.4173446792,109821
324,09-824,SAPU-Presidente Salvador Allende Gossens,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Santa Luisa  290 Quilicura,-70.7380806864,-33.3544411769,109824
325,09-890,SAPU-Cristo Vive,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Otra Institución,Primario,Avenida,Recoleta 4125 Recoleta,-70.6417390159,-33.3867529706,109890
326,09-941,SAPU-Libertadores,13,Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,San Pedro de Atacama 1925 Huechuraba,-70.6835043425,-33.3601643907,200041
327,10-011,PRAIS (S.S Metropolitano Occidente),13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13101,Santiago,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Calle,Alameda Bernardo O'Higgins 2429 Santiago,-70.6694441308,-33.4481743989,110011
328,10-300,CRS-Salvador Allende,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Perteneciente,Centro de Referencia de Salud,S/C,Servicio de Salud,Secundario,Calle,Teniente Cruz  800 Pudahuel,-70.7409760287,-33.4453690597,110300
329,10-308,CESFAM-Peñaflor,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Costa Rica  1000 Peñaflor,-70.8963026509,-33.6088799177,110308
330,10-310,CESFAM-Andes,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Servicio de Salud,Primario,Calle,Andes 4242 Quinta Normal,-70.6929269498,-33.434166787,110310
331,10-315,CGU- Santa Anita,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,San Pablo 5597 Lo Prado,-70.7092997694,-33.4392899236,110315
332,10-316,CESFAM-Pablo Neruda,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Dorsal 6741 Lo Prado,-70.7302203522,-33.4500577316,110316
333,10-320,CESFAM-Lo Franco,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Carrascal 4459 Quinta Normal,-70.6948311748,-33.4225646592,110320
334,10-325,CESFAM-Garín,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Janequeo 5612 Quinta Normal,-70.7138991063,-33.4303436412,110325
335,10-330,CGU- Dr. Adalberto Steeger,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Huelén 1629 Cerro Navia,-70.7412909145,-33.4175064566,110330
336,10-331,CESFAM-Lo Amor,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Neptuno 2198 Cerro Navia,-70.7173994348,-33.4175813218,110331
337,10-335,CESFAM-Cerro Navia,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Sado 7965 Cerro Navia,-70.7508814073,-33.4196409261,110335
338,10-340,CESFAM-Dr. Raúl Yazigi,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Caleta Iquique  214 Lo Prado,-70.7158839343,-33.4517965823,110340
339,10-345,CESFAM-Dr. Avendaño,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Teniente Cruz  1087 Lo Prado,-70.7404476152,-33.4368752151,110345
340,10-350,CGU- Pudahuel Estrella,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Avenida,La Estrella  1115 Pudahuel,-70.7507536553,-33.4369772993,110350
341,10-351,CGU- Pudahuel Poniente,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,San Pablo 9152 Pudahuel,-70.7644104161,-33.4423632576,110351
342,10-352,CESFAM-Dr. Gustavo Molina,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Laguna Sur 8759 Pudahuel,-70.7609316319,-33.4582145802,110352
343,10-353,CGU- Cardenal Raúl Silva Henríquez de Pudahuel,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,El Tranque  1382 Pudahuel,-70.7709185517,-33.4289996939,110353
344,10-354,CESFAM-Violeta Parra,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Travesía  8457 Pudahuel,-70.7428733907,-33.4570523671,110354
345,10-355,CESFAM-Dr. Arturo Albertz,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Las Torres  1204 Cerro Navia,-70.7316552892,-33.4334595285,110355
346,10-360,CGU- Renca,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Balmaceda 4420 Renca,-70.709697612,-33.4034519824,110360
347,10-361,CGU- Bicentenario,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Brasil  8005 Renca,-70.749808508,-33.3977523274,110361
348,10-362,CGU- Dr. Hernán Urzúa Merino,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Totoral Bajo 1011 Renca,-70.7284715256,-33.4114781412,110362
349,10-364,CGU- Huamachuco,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Las Margaritas  2466 Renca,-70.6989323324,-33.3912604303,110364
350,10-366,CESFAM-Juan Pablo II de Padre Hurtado,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,2ª Transversal  1657 Padre Hurtado,-70.8050379192,-33.5698681899,110366
351,10-369,CESFAM-Dr. Fernando Monckeberg,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,La Concepción 73 Peñaflor,-70.8717068439,-33.6100324896,110369
352,10-370,CGR- El Monte,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Avenida,Los Libertadores  531 El Monte,-70.9860907899,-33.6819191032,110370
353,10-375,CESFAM-Isla de Maipo,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Manuel Rodríguez 1001 Isla de Maipo,-70.9034963946,-33.7491131695,110375
354,10-378,CGU- Dr. Edelberto Elgueta,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Arza 1576 Melipilla,-71.2260305524,-33.6816468399,110378
355,10-379,CESFAM-Dr. Francisco Boris Soler,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Silva Chávez 1650 Melipilla,-71.2181339639,-33.7002816315,110379
356,10-380,CESFAM-San Manuel,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Camino San Manuel S/N Melipilla,-71.2575679481,-33.7734960985,110380
